trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.3349065732815,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-29.883478321964354,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-153.6557409059971,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-168.4202312507272,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-71.92230880961345,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-139.95219946682914,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-280.1105861651652,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-132.29618438016035,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-99.5308010015468,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-40.00942850469566,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,10,1.1731251900904636,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,16,-17.301575520010363,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,11.768391171946615,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-126.47425341604915,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-95.9052363556908,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-48.727494369348136,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-54.72298720500384,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-82.72185375848993,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-22.657754777714743,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-55.24923919161126,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,25.52813332799875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,5,-18.437563076401048,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-33.965344219601036,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,-28.36787331731195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-33.48686407080805,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,8,-1.1193912745866708,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-30.413003101900152,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-5.0253876391296,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-110.35790291076754,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-16.766537023710146,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
