trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-252.87720448191672,"{0: 9, 1: 4, 2: 6, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999695801542291}",25,0,-78.31683676440227,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999315557807827}",25,0,-346.52165175671047,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.9998783224676504}",20,0,-33.12346064031345,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9998098810245096}",30,0,-204.33143124468955,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9997262324923534}",25,14,-40.70500251657868,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9996273781434744}",20,0,-53.85724936905163,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9995133194814453}",35,12,-150.7472803314647,"{0: 11, 1: 3, 2: 5, 3: 3, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9993840582410962}",25,0,-68.30440210264901,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-84.76872260219154,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9990799361208828}",25,11,-70.76111985930167,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9989050798667101}",20,0,-82.46303669531544,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9987150302855301}",20,0,-46.66533030913532,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9985097902679935}",20,0,-64.24552771120968,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9982893629357967}",20,0,-140.07710868166,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9980537516416355}",20,0,-39.34055845101949,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9978029599691528}",20,0,-122.95629012905692,"{0: 13, 1: 0, 2: 2, 3: 4, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9975369917328853}",20,4,-19.240826604238375,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9972558509782049}",25,0,-82.22700520360294,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9969595419812568}",35,0,-157.54065670287784,"{0: 20, 1: 7, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9966480692488952}",35,6,-86.41094862015296,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.9963214375186144}",20,0,-66.88883611160115,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9959796517584766}",20,0,-62.16376608452108,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9956227171670368}",30,0,-14.104867802499863,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9952506391732631}",25,0,-79.84745897461781,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9948634234364546}",20,0,-95.00697767825544,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9944610758461554}",20,0,-104.70367116860507,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9940436025220645}",35,0,-168.10315915562703,"{0: 21, 1: 3, 2: 9, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.993611009813943}",20,0,-80.0165191139023,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9931633043015177}",25,0,-216.07671456679708,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.9927004927943809}",20,0,-107.40053122380812,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9922225823318865}",20,0,-158.3819181753303,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9917295801830438}",25,0,-79.30855496607252,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9912214938464056}",20,0,-64.40518937105746,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9906983310499554}",25,0,-47.24604471151052,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9901600997509893}",25,0,-144.16967141353146,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.989606808135995}",30,0,-188.6102553934111,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
38,False,"{'a': 0.5, 'e': 0.9890384646205271}",25,0,-53.262997171184374,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9884550778490798}",20,0,-104.3109447310106,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9878566566949545}",25,0,-110.68736445634406,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9872432102601254}",30,0,-151.93164834660598,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.986614747875101}",25,0,-142.65845063085635,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.985971279098782}",20,0,-115.41782378141224,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9853128137183161}",30,0,-107.61886295271113,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9846393617489492}",25,0,-89.89767752747403,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9839509334338724}",20,0,-186.74253205547873,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
47,False,"{'a': 0.5, 'e': 0.9832475392440675}",25,0,-153.30920048413398,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9825291898781464}",20,0,-4.1096193972941695,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.981795896262189}",25,0,-154.05254746964684,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9810476695495772}",30,0,-179.97736081674879,"{0: 14, 1: 2, 2: 12, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9802845211208249}",20,0,-39.14389721862568,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9795064625834049}",20,0,-137.64077267728644,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9787135057715726}",30,0,-196.54834600983992,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.9779056627461857}",20,0,-137.04367511972077,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9770829457945213}",25,0,-127.84942053732013,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9762453674300882}",20,0,-149.52028648295408,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9753929403924371}",25,0,-57.830824325993554,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.974525677646967}",25,0,-253.0730169342549,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
59,False,"{'a': 0.5, 'e': 0.9736435923847273}",25,0,-167.91282239169064,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.9727466980222181}",20,0,-125.50348360152935,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9718350082011852}",20,0,-68.99201314198199,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9709085367884133}",20,0,-71.21012119936256,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9699672978755146}",20,0,-75.52552735016576,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.969011305778715}",30,0,-69.61620449818354,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9680405750386356}",20,0,-185.5535714640617,"{0: 5, 1: 5, 2: 7, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9670551204200725}",20,0,-107.76552298477155,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9660549569117712}",20,2,-135.63759150142562,"{0: 9, 1: 0, 2: 5, 3: 3, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.9650400997261996}",20,0,-237.0642683274252,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 5}",0
69,False,"{'a': 0.5, 'e': 0.9640105642993159}",25,0,-70.43852371300882,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.962966366290334}",35,0,-152.924568249693,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9619075215814856}",30,7,-97.05425308406126,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.9608340462777781}",35,0,-234.17841793483694,"{0: 21, 1: 2, 2: 7, 3: 1, 4: 4}",0
73,False,"{'a': 0.5, 'e': 0.9597459567067504}",20,0,-56.85498683742283,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9586432694182239}",30,1,-148.6110465885209,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 3}",1
75,False,"{'a': 0.5, 'e': 0.9575260011840507}",25,0,-168.36450025030427,"{0: 8, 1: 7, 2: 8, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9563941689978595}",25,0,-105.83080096573262,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9552477900747958}",30,0,-136.74458043494133,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9540868818512609}",20,0,-96.43799426651694,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9529114619846466}",20,0,-147.2909307830667,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9517215483530664}",20,8,-59.95637859148317,"{0: 7, 1: 0, 2: 3, 3: 2, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.9505171590550837}",25,0,-74.64782354129021,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9492983124094364}",20,9,-60.32723714958688,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.9480650269547586}",30,0,-125.02986865395992,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9468173214492982}",20,0,-51.40794717044201,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.945555214870632}",20,0,-40.479594784982346,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9442787264153766}",25,0,-129.1114749784091,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
